"lab","polarity","anchor_n","replicate","source","apex_rt","areaUnderTic","xicFwhm","maxIntensity","signalToNoiseRatio"
"afekta","neg",1,3,"own",26.81800000002,14137.1990165202,0.59900000004,5122.96630859375,81.7916983766421
"afekta","neg",2,3,"own",28.01500000002,30775.6335841562,0.597999999959999,16476.26953125,362.696329180743
"afekta","neg",3,3,"own",32.802,40362.3247100426,1.79500195314,15000.5849609375,170.528568374499
"afekta","neg",4,3,"own",50.157,142138.525294259,1.79599999998,50738.890625,356.612500787204
"afekta","neg",5,3,"own",117.78700000002,220070.298617198,1.79500000002,69560.609375,1991.07688709103
"afekta","neg",6,3,"own",201.56800000002,300537.016538434,1.79500000002,127579.484375,2462.47078153522
"afekta","neg",7,3,"own",245.859,429532.890564021,1.19699999999997,197003.578125,8123.54513783346
"afekta","neg",8,3,"own",279.97000000002,572067.018148239,1.19599999998002,264114.3125,3137.35806662241
"afekta","neg",9,3,"own",309.89200000002,702311.950267551,1.19599999998002,324062.8125,5834.86404727292
"afekta","neg",10,3,"own",337.42000000002,750483.110518752,1.197,373795.53125,6542.72214674877
"afekta","neg",11,3,"own",363.153,792597.963145445,1.197,386141.21875,8601.72014503131
"afekta","neg",12,3,"own",387.68899999998,899798.724886421,1.19700000000006,426745.1875,5962.39932238751
"afekta","neg",13,3,"own",411.633,923140.195072018,1.79500000002002,417249.4375,5831.28050389429
"afekta","neg",14,3,"own",435.57100000002,789137.788063425,1.197,399113.71875,2161.28111747235
"afekta","neg",15,3,"own",458.91,499503.622781721,1.197,240264.34375,3607.53777919904
"afekta","neg",16,3,"own",482.24899999998,138394.268199601,1.197,59855.32421875,2989.04356047899
"afekta","neg",17,3,"own",504.99,43093.4385626974,1.197,7852.85498046875,502.771973816683
"afekta","neg",18,3,"own",527.73,34350.7463725477,1.197,3600.06579589844,21.135618772563
"afekta","neg",19,3,"own",548.07700000002,25191.0291258944,1.197,5689.6923828125,72.173341648177
"afekta","neg",20,3,"own",567.234,42540.1804844871,1.197,19615.5703125,133.141269045317
"afekta","neg",1,4,"own",26.84899999998,8460.87947226891,1.19599999998,3952.16430664062,53.5160695708757
"afekta","neg",2,4,"own",28.04599999998,27016.8268418953,0.598000000019997,17128.935546875,979.641872642183
"afekta","neg",3,4,"own",32.83300000002,49235.0429996983,1.79500000002,16673,450.210866844579
"afekta","neg",4,4,"own",50.18800000002,153243.531462189,1.79500000002,56644.328125,1886.65453936554
"afekta","neg",5,4,"own",118.41,225889.537776614,2.39299999998001,63503.5078125,1122.0514223992
"afekta","neg",6,4,"own",201.594,329685.716341892,1.79499999996,132160.015625,4953.20886679018
"afekta","neg",7,4,"own",245.87800000002,424237.287402156,1.19699999999997,199460.484375,6643.6254683422
"afekta","neg",8,4,"own",279.98899999998,570574.014355924,1.19700000000006,292289.09375,1966.67468420284
"afekta","neg",9,4,"own",309.91099999998,674887.234697537,1.197,327451.8125,8525.91420026571
"afekta","neg",10,4,"own",337.44,751010.393201547,1.197,353234.9375,5180.81734010935
"afekta","neg",11,4,"own",363.17200000002,821767.43269787,1.197,366400.53125,6240.97495850449
"afekta","neg",12,4,"own",387.708,909251.545190681,1.197,414048.0625,10567.6214902224
"afekta","neg",13,4,"own",411.64600000002,943101.163485333,1.79500000002002,421992.6875,8836.00314240208
"afekta","neg",14,4,"own",435.58399999998,837985.40387466,1.19700000000006,400320.34375,4385.97119903463
"afekta","neg",15,4,"own",458.92300000002,484938.684621607,1.197,221500.65625,5490.82845120709
"afekta","neg",16,4,"own",482.262,124093.123725246,1.19600000004004,60360.56640625,745.293701319346
"afekta","neg",17,4,"consensus",505.00300000002,58517.2438879098,1.19699999999995,6775.3017578125,82.8521666372164
"afekta","neg",18,4,"own",526.54699999998,56988.2662850107,1.19600000003993,3906.015625,114.849516136179
"afekta","neg",19,4,"own",547.49200000002,13583.632901758,1.79500000001997,4977.794921875,31.4298538779542
"afekta","neg",20,4,"own",567.243,37495.7626698765,1.197,17968.265625,923.229577536954
"afekta","neg",1,5,"own",26.29900000002,22390.9257980668,0.597999999960003,6756.98095703125,435.332400681075
"afekta","neg",2,5,"own",28.09399999998,27528.6284137999,1.19599999998,14701.1435546875,255.1081777491
"afekta","neg",3,5,"own",33.48,49817.1806738913,1.79500000002,16056.0771484375,557.450963675158
"afekta","neg",4,5,"own",50.23600000002,160188.868836852,1.19699999999999,55534.92578125,567.903691668854
"afekta","neg",5,5,"own",118.45900000002,213844.104961268,1.79499999996,72924.09375,1954.18329599149
"afekta","neg",6,5,"own",201.642,305655.799426013,1.79599999997998,134286.671875,1470.98897245397
"afekta","neg",7,5,"own",245.92600000002,420380.059376259,1.19699999999997,198002.15625,1442.51260888283
"afekta","neg",8,5,"own",280.03699999998,577973.962325732,1.19700000000006,279665.90625,3649.01454550981
"afekta","neg",9,5,"own",309.95899999998,672321.783876136,1.197,330275.40625,5736.13277893562
"afekta","neg",10,5,"own",337.488,745150.727350474,1.19699999999995,369658,5716.74145503719
"afekta","neg",11,5,"own",363.22099999998,834769.76328166,1.197,402558.21875,5142.94467424465
"afekta","neg",12,5,"own",387.76099999998,924053.671450266,1.79599999997998,420662.90625,5680.58630171698
"afekta","neg",13,5,"own",412.29700000002,924092.047440717,1.19700000000006,431075.46875,9744.1197263925
"afekta","neg",14,5,"own",435.636,830625.504343113,1.197,402893.65625,7242.59983577986
"afekta","neg",15,5,"own",458.97499999998,472030.793327628,1.79499999996,215185.34375,3721.65840565482
"afekta","neg",16,5,"own",482.31400000002,165781.387134293,1.19699999999995,66545.71875,3247.85490694978
"afekta","neg",17,5,"own",505.65400000002,34359.2906466452,1.19699999999995,5269.57568359375,159.5248996556
"afekta","neg",18,5,"own",526.605,26673.0142316159,2.39399999999989,2551.7890625,56.7498939640963
"afekta","neg",19,5,"own",548.14900000002,16818.6559284434,1.197,6134.26391601562,266.481882323645
"afekta","neg",20,5,"own",567.29899999998,34123.5389631919,1.79499999995994,14219.0302734375,83.4546738086261
"afekta","neg",1,6,"own",26.20999999998,9661.70695097405,1.197,4418.05712890625,76.145948547145
"afekta","neg",2,6,"own",28.00600000002,24956.3365852742,1.79500000002,11163.525390625,150.585557693424
"afekta","neg",3,6,"own",33.39199999998,47964.2669739292,2.39300000004,16904.5234375,675.587866917809
"afekta","neg",4,6,"own",50.148,138590.502501229,1.79599999998,57081.08984375,1282.55630166132
"afekta","neg",5,6,"own",118.36999999998,227262.603894,1.79499999996,69088.2421875,2030.56434792075
"afekta","neg",6,6,"own",202.152,310773.70220533,1.19700000000003,137298.203125,2897.12750215087
"afekta","neg",7,6,"own",245.838,483239.442895596,1.19699999999997,215987.40625,3656.75349105543
"afekta","neg",8,6,"own",279.94900000002,581561.831592305,1.197,284591.0625,8678.12329396012
"afekta","neg",9,6,"own",309.87100000002,689770.974449317,1.197,327430.78125,3392.84889659363
"afekta","neg",10,6,"own",337.39900000002,747706.063338411,1.197,369995.8125,6005.35377375961
"afekta","neg",11,6,"own",363.132,822588.088626083,1.19700000000006,405442.9375,9119.11567449155
"afekta","neg",12,6,"own",387.66799999998,955028.852324757,1.79499999996005,423544.78125,65583.9497282296
"afekta","neg",13,6,"own",412.20400000002,967716.722672327,1.197,445953.75,4396.54770164106
"afekta","neg",14,6,"own",435.543,866234.764828974,1.197,398895.125,4444.44550177586
"afekta","neg",15,6,"own",458.883,477438.1995239,1.19599999998002,221521.828125,5039.35942207476
"afekta","neg",16,6,"own",482.22199999998,124848.319260881,1.19700000000012,61155.6328125,459.721029058076
"afekta","neg",17,6,"own",504.96199999998,27215.1356732244,1.197,6074.61572265625,231.647357784133
"afekta","neg",18,6,"own",526.512,32202.7262047929,1.79500000002008,3080.205078125,107.286615683711
"afekta","neg",19,6,"own",548.05600000002,31197.5771701201,1.19599999998002,5112.9814453125,42.3985894540529
"afekta","neg",20,6,"own",567.20599999998,53589.2239712192,0.59900000003995,18681.67578125,231.417772298279
"afekta","pos",1,1,"own",26.688,53520.8038290406,1.79500000002,24492.41796875,266.857315345916
"afekta","pos",2,1,"own",28.48399999998,183881.496721328,1.197,78918.6796875,1655.68130436893
"afekta","pos",3,1,"own",33.87,250902.239056926,1.79500000002,81331.4375,2301.21578919836
"afekta","pos",4,1,"own",51.82300000002,676008.010134626,1.79499999996,256114.484375,5293.43429275705
"afekta","pos",5,1,"own",124.23400000002,785699.436803092,1.79499999995998,281642.6875,8125.74191787065
"afekta","pos",6,1,"own",204.42499999998,836063.332812964,1.19599999998002,408357.15625,17854.1775124692
"afekta","pos",7,1,"own",247.51300000002,1003400.18986604,1.19699999999997,480587.03125,39334.0841976216
"afekta","pos",8,1,"own",281.62399999998,1200624.44678618,1.19700000000006,574287.0625,14616.8876793298
"afekta","pos",9,1,"own",311.54599999998,1447280.01906398,1.197,723945,19143.7849356944
"afekta","pos",10,1,"own",339.07399999998,1223759.3680729,1.19599999998002,572457.9375,8984.08820749814
"afekta","pos",11,1,"own",364.20799999998,1216019.82852649,1.79499999996,564386.5,12709.7112435438
"afekta","pos",12,1,"own",389.343,1374871.79959301,1.19600000003999,650062.75,13171.7667735647
"afekta","pos",13,1,"own",413.28499999998,1440125.34969913,1.19699999999995,710704.25,19219.4650506677
"afekta","pos",14,1,"own",437.223,1345441.5601105,1.19699999999995,607864.125,8026.37361303983
"afekta","pos",15,1,"own",460.56199999998,976091.884654072,1.19599999998002,447315.625,16413.9371297621
"afekta","pos",16,1,"own",483.303,369267.049841334,1.19700000000006,165664.296875,3783.11648310496
"afekta","pos",17,1,"own",506.04400000002,81648.651148345,1.197,34735.140625,591.432305276152
"afekta","pos",18,1,"own",528.186,53619.2650454525,1.197,19618.84765625,265.960784007462
"afekta","pos",19,1,"own",548.53300000002,96915.4049304622,1.197,43033.95703125,179.342968263012
"afekta","pos",20,1,"own",568.287,334701.594700577,1.197,165724.3125,2273.26686463692
"afekta","pos",1,2,"own",27.096,61072.8039842741,1.197,21889.046875,503.227796257852
"afekta","pos",2,2,"own",28.293,148931.212239237,1.197,78252.4453125,713.062033279408
"afekta","pos",3,2,"own",33.67900000002,193769.87943303,1.79600000004,72031.3515625,963.250968049695
"afekta","pos",4,2,"own",52.23,613208.656191203,1.197,246152.3125,5346.60676175288
"afekta","pos",5,2,"own",124.64200000002,721659.817069864,1.79500000002001,241766.8125,4719.71395593977
"afekta","pos",6,2,"own",204.24,755179.060872496,1.197,349372.40625,19899.7532952781
"afekta","pos",7,2,"own",247.926,932290.80727001,1.19699999999997,424107.65625,28498.4818766629
"afekta","pos",8,2,"own",282.03700000002,1153725.07015141,1.19700000000006,527016.4375,23016.6710466912
"afekta","pos",9,2,"own",311.96599999998,1360952.32669713,1.19699999999995,639689.25,19379.4203555594
"afekta","pos",10,2,"own",338.895,1161500.17660585,1.79500000001997,521216.0625,25680.2830188431
"afekta","pos",11,2,"own",364.62799999998,1178264.80165067,1.197,562362.9375,15986.632665175
"afekta","pos",12,2,"own",389.16400000002,1279632.01829096,1.79500000002002,591099.5,9358.54053288911
"afekta","pos",13,2,"own",413.70100000002,1350926.0319769,1.19699999999995,619269,7495.11337733005
"afekta","pos",14,2,"own",437.04,1299399.20803528,1.19699999999995,626323.8125,8684.40894420962
"afekta","pos",15,2,"own",460.38499999998,923970.48448069,1.19699999999995,438582.5,14056.6712205378
"afekta","pos",16,2,"own",483.72400000002,345537.013022646,1.19700000000006,145459.296875,7298.82958307333
"afekta","pos",17,2,"own",506.46499999998,67434.9418081319,1.19699999999995,25988.00390625,458.890310590339
"afekta","pos",18,2,"own",528.60700000002,32160.6952093299,1.19600000004004,11910.896484375,122.015247125624
"afekta","pos",19,2,"own",548.95399999998,57500.7342168281,1.197,26785.775390625,149.350983308685
"afekta","pos",20,2,"own",568.70299999998,211134.623822641,1.197,90013.984375,1074.71298550114
"afekta","pos",1,3,"own",26.607,50890.9661543009,0.598999999980002,24230.45703125,367.196304445219
"afekta","pos",2,3,"own",28.40299999998,144261.562380365,1.197,76225.0703125,1497.95463520651
"afekta","pos",3,3,"own",33.789,208894.098994839,1.79500000002,71097.09375,1949.07387236255
"afekta","pos",4,3,"own",51.74200000002,605649.453544302,1.79500000002,239337.171875,2057.28697076979
"afekta","pos",5,3,"own",124.752,733809.925888667,1.79599999997997,247158.546875,7218.58814406601
"afekta","pos",6,3,"own",204.94699999998,763712.106832395,1.19699999999997,353655.46875,13257.5589938266
"afekta","pos",7,3,"own",247.43599999998,916645.929689837,1.19699999999997,432311.75,7204.88976751522
"afekta","pos",8,3,"own",282.14599999998,1173399.4001518,1.19699999999995,539088.5625,17922.0552253314
"afekta","pos",9,3,"own",311.469,1398008.8911463,1.79500000001997,631860.3125,15750.543489813
"afekta","pos",10,3,"own",338.99800000002,1169027.38486684,1.197,555781.375,8452.29650980431
"afekta","pos",11,3,"own",364.737,1180118.1544715,1.19699999999995,563808.25,8829.77529106921
"afekta","pos",12,3,"own",389.27299999998,1278570.50098097,1.197,604259.5625,10626.0656448146
"afekta","pos",13,3,"own",413.20999999998,1369634.58178067,1.79499999996,632634.25,12712.7802923749
"afekta","pos",14,3,"own",437.148,1238537.93602898,1.197,594164.25,11346.1328691948
"afekta","pos",15,3,"own",460.48699999998,859975.625153107,1.19699999999995,435892.03125,10748.2472430287
"afekta","pos",16,3,"own",483.82600000002,312545.311597127,1.19699999999995,139577.15625,2079.2574552288
"afekta","pos",17,3,"own",506.57299999998,67624.5842661253,1.19599999998002,26923.6796875,627.808381875916
"afekta","pos",18,3,"own",528.117,48455.2963256693,1.197,14354.458984375,339.259857469453
"afekta","pos",19,3,"own",549.063,70537.8443888359,1.19700000000012,33335.08984375,94.274979780938
"afekta","pos",20,3,"own",568.81099999998,244666.520625302,1.197,111185.8515625,990.821371621451
"afekta","pos",1,4,"own",26.78500000002,49859.8494212283,1.197,24229.2265625,451.763839329898
"afekta","pos",2,4,"own",28.581,150359.216803947,1.197,72925.1640625,776.02455828445
"afekta","pos",3,4,"own",33.96700000002,228677.541368351,1.79499999996001,72114.0546875,1570.30051836628
"afekta","pos",4,4,"own",51.91999999998,607512.741594856,1.79599999998,240232.71875,5340.85463132139
"afekta","pos",5,4,"own",124.929,727673.236134857,1.79500000002,246827.4375,10638.5168505044
"afekta","pos",6,4,"own",204.522,742359.911454576,1.19600000003999,370892.28125,10784.0147814295
"afekta","pos",7,4,"own",247.60999999998,916495.768784829,1.19699999999997,432709.71875,11280.7450035623
"afekta","pos",8,4,"own",281.721,1133612.56212081,1.79599999997998,521764.65625,7496.26444518401
"afekta","pos",9,4,"own",311.643,1361187.83625755,1.197,640822,34042.4389044506
"afekta","pos",10,4,"own",339.17599999998,1123476.39009435,1.197,516162.5625,17106.163482648
"afekta","pos",11,4,"own",364.90900000002,1160728.39971907,1.19699999999995,528667.4375,18185.8268156527
"afekta","pos",12,4,"own",389.445,1291158.66815086,1.19699999999995,602697.6875,9614.94621453559
"afekta","pos",13,4,"own",413.38300000002,1357054.67847564,1.19599999998002,661886.75,10604.9471517158
"afekta","pos",14,4,"own",437.32099999998,1252316.84385722,1.19700000000006,581199.9375,7614.88831157027
"afekta","pos",15,4,"own",460.66000000002,861151.013539298,1.19700000000006,439143.96875,8432.07568423547
"afekta","pos",16,4,"own",483.40699999998,313145.292823086,1.19700000000012,136073.109375,4598.1080489828
"afekta","pos",17,4,"own",506.74600000002,63573.5231638678,1.197,25392.72265625,929.471390689632
"afekta","pos",18,4,"own",527.691,36341.4680236521,1.197,11245.1630859375,109.344443345545
"afekta","pos",19,4,"own",549.23500000002,59766.5989474734,1.79599999997993,23533.572265625,74.8484223605608
"afekta","pos",20,4,"own",568.38499999998,203540.859756589,1.19699999999989,97280.671875,1106.27858929808
"afekta","pos",1,5,"own",26.865,60799.7486250416,1.79599999998,22027.66796875,1250.95692484839
"afekta","pos",2,5,"own",28.66000000002,169988.62088585,1.197,82863.6328125,3301.09947764226
"afekta","pos",3,5,"own",33.44800000002,251681.40036613,1.79600000004,81381.7265625,1970.02785487463
"afekta","pos",4,5,"own",51.999,692920.922202562,1.79500000002001,257298.90625,3292.73987402405
"afekta","pos",5,5,"own",125.607,797287.324870593,2.39299999998001,259042.234375,4533.59820589849
"afekta","pos",6,5,"own",204.60799999998,793142.733969029,1.197,389192.46875,14787.2895685014
"afekta","pos",7,5,"own",247.695,957624.661685324,1.79500000001997,451411.28125,5981.29374331429
"afekta","pos",8,5,"own",282.405,1160795.1757618,1.79500000002002,515966.53125,10864.6863188769
"afekta","pos",9,5,"own",311.72899999998,1347702.9894221,1.79500000002002,624820.625,15886.2338678454
"afekta","pos",10,5,"own",339.26299999998,1119296.04943943,1.19599999997996,520623.71875,16463.723642355
"afekta","pos",11,5,"own",364.99600000002,1174964.71104368,1.19699999999995,560978.1875,13342.2612823197
"afekta","pos",12,5,"own",389.532,1268729.36022874,1.19600000003999,608951.9375,19315.062175163
"afekta","pos",13,5,"own",413.47000000002,1365270.99980415,1.19699999999995,678439.125,13071.4408599628
"afekta","pos",14,5,"own",437.40700000002,1243101.07092802,1.197,571967.0625,16621.2019731018
"afekta","pos",15,5,"own",460.746,851698.209889643,1.197,424230.3125,11323.6129865516
"afekta","pos",16,5,"own",483.49300000002,280142.62918772,1.19599999998002,136223.015625,5134.38690436984
"afekta","pos",17,5,"own",506.23399999998,85407.4098437233,1.79599999997998,19356.064453125,488.291786569182
"afekta","pos",18,5,"own",528.37600000002,28146.070881662,1.19599999998002,14693.73828125,195.525831031026
"afekta","pos",19,5,"own",548.72299999998,43610.1051714437,1.19700000000012,20587.400390625,74.403396628919
"afekta","pos",20,5,"own",568.47199999998,178229.687332773,1.19700000000012,84283.5859375,1118.53083555617
"afekta","pos",1,6,"own",27.174,54394.6341026517,1.19600000004,24555.421875,805.113900067793
"afekta","pos",2,6,"own",28.371,165530.524052362,1.197,87273.2890625,725.237552337054
"afekta","pos",3,6,"own",33.75700000002,219382.415848642,2.39399804687999,81376.8984375,700.069785100037
"afekta","pos",4,6,"own",52.308,699359.779391552,1.19699999999999,267145.28125,6957.85974114666
"afekta","pos",5,6,"own",125.31799999998,747085.815595122,1.79499999996001,243810.5625,12283.7277451055
"afekta","pos",6,6,"own",204.91099999998,784205.447888977,1.197,397849.4375,9406.15100159501
"afekta","pos",7,6,"own",248.004,944807.407865744,1.19700000000003,455977.34375,9076.67230062142
"afekta","pos",8,6,"own",282.11500000002,1134651.85568832,1.19599999997996,537132.75,50236.3292275962
"afekta","pos",9,6,"own",312.03700000002,1336681.54810008,1.19599999998002,638016.5625,14998.1941489717
"afekta","pos",10,6,"own",338.967,1130472.50032782,1.79599999998004,524784.5625,16799.0090959464
"afekta","pos",11,6,"own",364.69999999998,1189417.06565629,1.197,563203.6875,18328.9502718096
"afekta","pos",12,6,"own",389.24200000002,1289320.73792671,1.79600000004001,576577.375,12607.1656971073
"afekta","pos",13,6,"own",413.778,1345731.80910482,1.19600000004004,598083.5625,11194.5484481832
"afekta","pos",14,6,"own",437.11699999998,1237354.5591078,1.19699999999995,592308,18720.0330846707
"afekta","pos",15,6,"own",460.45600000002,853746.943469981,1.19699999999995,432487.0625,25040.7522621339
"afekta","pos",16,6,"own",483.795,302226.855799664,1.19699999999995,125411.6875,3026.57615854583
"afekta","pos",17,6,"own",506.53600000002,53678.0419236574,1.79599999998004,21663.009765625,322.821578656888
"afekta","pos",18,6,"own",528.07999999998,31108.8048691145,1.1959999999799,12362.4697265625,202.569845585128
"afekta","pos",19,6,"own",549.03199999998,51715.4239057915,1.197,24796.537109375,105.616658258929
"afekta","pos",20,6,"own",568.78000000002,182263.359568064,1.19699999999989,88029.2578125,1026.31910361905
"cembio","neg",1,1,"own",25.95,27951.6433668131,0.998000000039998,10980.22265625,319.601384004285
"cembio","neg",2,1,"own",26.94799999998,48920.5654616026,1.49599999998,23080.46484375,467.750024201502
"cembio","neg",3,1,"own",29.44099999998,86547.4759559365,0.997999999979999,42263.62109375,695.738248092352
"cembio","neg",4,1,"own",41.90800000002,320813.477284027,0.996999999960003,123549.2421875,1565.35150110026
"cembio","neg",5,1,"own",122.697,485645.227030521,4.98700000001999,59824.30078125,10633.1963633428
"cembio","neg",6,1,"own",203.48599999998,700574.758188887,1.49599999998003,298109.5625,10435.3815149764
"cembio","neg",7,1,"own",247.371,966768.7634092,0.99799999998001,490711.46875,26964.8462423115
"cembio","neg",8,1,"own",282.28000000002,1244089.66884028,1.49599999998003,656232.5,34300.7974352702
"cembio","neg",9,1,"own",312.20200000002,1420762.59889986,1.49599999997997,751890.5,12039.3245014858
"cembio","neg",10,1,"own",339.132,1526210.58244092,1.49600000004,766560.5,14757.0221778304
"cembio","neg",11,1,"own",364.56499999998,1564209.86492351,0.998000000040008,763622.9375,18708.6780579741
"cembio","neg",12,1,"own",389.50000000002,1630216.82461544,0.997999999979982,786824.25,22201.0751215547
"cembio","neg",13,1,"own",413.43700000002,1534442.37060235,0.996999999959939,772401.4375,67517.1357822629
"cembio","neg",14,1,"own",437.37499999998,1121170.28117568,1.49599999997992,561043.9375,22302.181877934
"cembio","neg",15,1,"own",461.31199999998,546560.703947693,1.49600000004006,256131.453125,6725.42869641102
"cembio","neg",16,1,"own",485.25,123083.031354391,1.49600000004,48988.2734375,3262.97515227401
"cembio","neg",17,1,"own",508.689,55305.2949930462,3.98999999999995,5274.25537109375,170.435513794615
"cembio","neg",18,1,"consensus",544.09600000002,16461.9247315748,25.4330000000399,1112.28674316406,36.2779993583149
"cembio","neg",19,1,"own",554.07,17218.7685519226,0.499000000020146,1139.57604980469,67.0404586662007
"cembio","neg",20,1,"own",575.01499999998,10090.4398141179,1.49599999997997,1897.94421386719,90.3130156268978
"cembio","neg",1,2,"own",26.22,33211.9516023362,1.49800000002,11453.8251953125,443.710422327908
"cembio","neg",2,2,"own",26.71900000002,61049.3341668943,1.49800000002,28656.80859375,369.134418708954
"cembio","neg",3,2,"own",29.715,140984.637203492,0.998000000040001,47388.01953125,1009.57845773528
"cembio","neg",4,2,"own",41.69800000002,386938.937358101,0.997999999980003,147883.03125,821.337015255634
"cembio","neg",5,2,"own",123.08299999998,590329.376370765,4.99299999996002,78538.5078125,3093.80248154938
"cembio","neg",6,2,"own",203.47000000002,898173.838010489,0.998999999999967,404748.34375,16055.5722240509
"cembio","neg",7,2,"own",247.40800000002,1230238.79758081,1.49800000002003,615236.9375,37266.0979076825
"cembio","neg",8,2,"own",282.35800000002,1564599.55169113,1.49800000002,822812.125,42478.9059134881
"cembio","neg",9,2,"own",312.31600000002,1782046.37529774,0.997999999979982,943386.0625,49583.4155727249
"cembio","neg",10,2,"own",339.27799999998,1907901.14467973,1.49700000000001,964560.625,33364.0866009229
"cembio","neg",11,2,"own",364.74199999998,1908403.9935655,1.49799999995997,967330.875,28222.2757649766
"cembio","neg",12,2,"own",389.20699999998,1999424.36778052,1.49799999996003,1016720.5625,34474.4503930026
"cembio","neg",13,2,"own",413.67700000002,1836033.04939031,0.998999999999967,893415.0625,23343.9774449932
"cembio","neg",14,2,"own",437.643,1392293.24478111,0.999000000000024,689242,19698.533927639
"cembio","neg",15,2,"own",461.61,612622.470375676,0.998999999999967,300695.8125,5933.18538119328
"cembio","neg",16,2,"own",485.57599999998,107256.53249175,0.999000000000024,51493.88671875,1030.93307267559
"cembio","neg",17,2,"own",508.54300000002,48282.3534376686,3.99399999996001,4649.76025390625,107.357910332075
"cembio","neg",18,2,"consensus",532.00999999998,14813.1422587675,0.499000000020033,1908.44213867188,38.8158753865153
"cembio","neg",19,2,"consensus",553.97899999998,24971.2356555783,0.498999999959892,1151.75610351562,56.0078326204536
"cembio","neg",20,2,"own",574.45000000002,20813.3667056245,0.999000000000024,1969.77868652344,130.157268256576
